Name,Phone,Full_Address,City,State,ZIP,Source_URL,Latitude,Longitude
Chateau de Vie,707-942-6446,3250 Highway 128,,,,https://www.fortross.org/local/ava/napa-valley,37.381102,-79.15764
Cobblestone,310.478.5540,"Napa, California",Napa,California,,https://www.fortross.org/local/ava/napa-valley,38.298596,-122.288187
Arns Winery,707-963-3429,601 Mund Road,,,,https://www.fortross.org/local/ava/napa-valley,38.53483,-122.45843
Trueblood Wines,707-337-6366,9903 S. Santa Monica Blvd.,,,,https://www.fortross.org/local/ava/napa-valley,34.065513,-118.411758
Buehler Vineyards,707-963-2155,820 Greenfield Rd.,,,,https://www.fortross.org/local/ava/napa-valley,37.966234,-87.471435
Altamura Winery,707-253-2000,1700 Wooden Valley Rd,,,,https://www.fortross.org/local/ava/napa-valley,38.364393,-122.175126
Trefethen Vineyards,707.255.7700,1160 Oak Knoll Ave.,,,,https://www.fortross.org/local/ava/napa-valley,38.360475,-122.332444
Nichelini Winery,707-963-0717,2950 Sage Canyon Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.498887,-122.293679
Chappellet Winery,707-286-4219,"1581 Sage Canyon Rd, St Helena, CA 94574",St Helena,CA,94574.0,https://www.fortross.org/local/ava/napa-valley,38.480085,-122.332246
Hagafen Cellars,707-252-0781,4160 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.364798,-122.289431
Lobo Wines,707-224-8322,2275 Soda Canyon Road,,,,https://www.fortross.org/local/ava/napa-valley,38.402253,-122.301956
Pope Valley Winery,707-965-1246,6613 Pope Valley Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.63401,-122.45156
Tognetti Family Winery,707-968-7204,P.O. Box 10377,,,,https://www.fortross.org/local/ava/napa-valley,,
David Clinton Wine Cellars,,PO Box 2164,,,,https://www.fortross.org/local/ava/napa-valley,,
Herencia Wines,707-253-8463,4060 Monticello Rd,,,,https://www.fortross.org/local/ava/napa-valley,38.37845,-122.1997
Frisson Wine,707-224-1222,"Napa, California 95476",Napa,California,95476.0,https://www.fortross.org/local/ava/napa-valley,38.271638,-122.428282
HdV Wines,707- 251-9121,588 Trancas Street,,,,https://www.fortross.org/local/ava/napa-valley,38.32605,-122.28335
Honrama Cellars,707-628-2743,2515 Napa Valley Corporate Dr.,,,,https://www.fortross.org/local/ava/napa-valley,38.255489,-122.275441
Jamieson Ranch Vineyards,707-254-8673,1 Kirkland Ranch Road,,,,https://www.fortross.org/local/ava/napa-valley,38.220365,-122.228789
Mira Napa Valley Education Center and Tasting Room,707- 945-0881,6170 Washington St.,,,,https://www.fortross.org/local/ava/napa-valley,42.22381,-86.36986
Oro Puro Vineyards,707-252-9222,P.O. Box 6230,,,,https://www.fortross.org/local/ava/napa-valley,,
Rahn Estate,707-965-3700,1575 Deer Park Rd,,,,https://www.fortross.org/local/ava/napa-valley,38.55256,-122.45706
Rubissow Wines,707-253-8605,"830 School St, Ste 14",School St,Ste 14,,https://www.fortross.org/local/ava/napa-valley,39.795383,-85.777686
